temperature,humidity,rainfall,ph,nitrogen,phosphorous,potassium,carbon,soil,label
22.6,73.2,246.3,6.47,67.53,42.84,76.01,3.66,Loamy Soil,chives
31.3,67.3,107.8,6.38,23.9,63.31,88.87,1.62,Sandy Loam,peanut
29.57240298,93.61870344,27.56918621,6.559763394,54.24,93.8,48.35,1.14,Loamy Soil,muskmelon
16.18820417159989,90.72850696702723,108.5834369267046,7.755477838300744,56.81,59.7865,55.1455,1.21,Peaty Soil,orange
24.28888877,83.03687902,54.7657624,6.653867608,56.13,101.97,61.1,0.65,Neutral Soil,watermelon
27.72653142,92.00687531,20.75707821,6.350623739,52.97,72.51,44.15,0.78,Acidic Soil,muskmelon
25.67324193,51.29043632,194.9221468,6.877799264,64.36,143.7669,147.46828,2.03,Neutral Soil,coffee
33.99145079344629,71.87071459011982,116.15265685341595,6.337128539689051,18.35,64.3,73.83,1.47,Sandy Loam,peanut
25.56703012,76.10953962,102.7867717,5.590236025,61.09,46.388,49.72,2.08,Acidic Soil,banana
26.246725307210387,68.80641052099534,51.29786768610641,6.721550583762659,88.7,54.96,121.01,2.68,Clay Loam,garlic
26.8120885793363,86.09594381703747,179.50977496468548,6.350912704729479,133.51,105.83,191.53,3.37,Loamy Soil,cabbage
26.7,86.9,200.0,6.08,85.31,59.54,86.82,3.97,Loamy Soil,chives
20.53266263684546,90.38030838524749,117.69150683896962,7.026381080707462,60.87,143.015,139.584,1.67,Loamy Soil,orange
26.49031909441299,60.085972690834076,96.95562706746016,6.020827474794593,48.0,37.0,36.0,796.0,Sandy Soil,sweetpotato
26.712189840811373,90.5724141956728,57.83835045476265,6.811773280876694,59.65,147.76686,104.55,2.34,Loamy Soil,watermelon
25.846310387538004,65.13593273876971,178.45357900008713,4.877941552895756,63.760000000000005,37.73,48.82,1.97,Acidic Soil,tea
24.12401192354393,90.60577535595975,103.08857196148985,7.499089344511801,61.41,87.94,69.19,1.38,Loamy Soil,orange
24.98,59.43,84.77,6.26,38.0,27.0,59.0,712.0,Loamy Soil,sweetpotato
33.824581168332294,51.25229634463721,98.39260655378169,6.169563973923002,62.42,46.14,55.75,0.6,Acidic Soil,mango
24.959950361145257,79.122941065498,119.1998220714823,6.697499681866696,37.46,53.61,80.23,2.44,Silty Loam,soybean
25.627355,57.04151119,188.5506536,7.428523634,65.31,69.93,98.67,1.9,Loamy Soil,coffee
17.370496071622235,93.9730490680464,109.3682771167375,6.934387398122295,58.79,142.4994,145.242,2.42,Loamy Soil,orange
